title,artist,year,position,mood_tone,instrumentation,genre,lyrics
"Oh, Pretty Woman",Roy Orbison,1964,4,"confident, catchy, flirtatious","electric guitar, percussion, strong vocals","rock, pop","[Verse]
Pretty woman, walkin’ by  
Caught me with a single sigh  
Eyes like fire, lips like wine  
You got me dreamin’ overtime  

[Chorus]
Oh, pretty woman, can’t you see?  
You’re the one who sets me free  
Just one glance, and now I know  
You’re the star in every show  

[Verse]
Don’t pass me like a summer breeze  
Come say hello, come put me at ease  
You’ve got that look, that mystery  
And darlin’, you belong with me  

[Bridge]
Even angels stop and stare  
When you walk with style and flair  

[Outro]
Oh, pretty woman, say you will  
Stay with me and time stands still"
I Get Around,The Beach Boys,1964,5,"rebellious, fun, energetic","guitar, surf rock rhythm, harmonized vocals","surf rock, pop","[Verse]
I jump in the ride and cruise the town  
From the beach to the strip, I get around  
Engine roars and the tires spin  
Every night’s a new begin  

[Chorus]
I get around, I make my scene  
From the boulevard to the movie screen  
With the windows down and music loud  
I move fast and live proud  

[Verse]
The girls all smile, the guys all nod  
I’m known from Venice down to Cape Cod  
Surfboard strapped, ready to go  
Speedin’ off with style and glow  

[Bridge]
You can’t catch me, I’m never still  
Movin’ through life by sheer will  

[Outro]
I get around, it’s what I do  
Racing with the sun in view"
Wooly Bully,Sam the Sham and the Pharaohs,1965,1,"fun, chaotic, danceable","organ, saxophone, upbeat drums","garage rock, rock and roll","[Verse]
Wooly Bully’s got the groove  
Makes your body wanna move  
With a stomp and twist and shout  
We’re gonna turn this party out  

[Chorus]
Wooly Bully, dance all night  
Spin around and hold on tight  
Forget your worries, jump in line  
Wooly Bully's feelin’ fine  

[Verse]
Sam told Matty not to wait  
Said get down and shake that fate  
It’s not about how you look  
It’s the rhythm that you cook  

[Bridge]
It don’t matter what you wear  
Long as you got moves to share  

[Outro]
Wooly Bully, here we go  
Let that wild energy flow"
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,2,"passionate, soulful, catchy","bass, brass, male vocals","Motown, soul, pop","[Verse]
Sugar pie, honey bunch  
You’re the reason I skip lunch  
Can’t think straight, can’t stay cool  
Every time, I act a fool  

[Chorus]
I can’t help myself  
You're my weakness and my wealth  
You got me under your spell  
And I can’t break it, can’t you tell?  

[Verse]
I try to walk away each time  
But your voice just rewinds my mind  
No other girl makes me feel  
The kind of love that feels so real  

[Bridge]
Don’t blame me if I stay  
Your sweet touch leads the way  

[Outro]
Sugar pie, honey bunch  
You’ve got me in your clutch"
(I Can't Get No) Satisfaction,The Rolling Stones,1965,3,"rebellious, gritty, frustrated","electric guitar riff, drums, raw vocals","rock, blues rock","[Intro]  
I can’t make no…  
No connection  

[Verse]  
I turn the dial, I hear the noise  
Selling lies to all the boys  
They talk so slick, they sell the dream  
But nothing’s ever what it seems  

[Chorus]  
I can’t make no… no connection  
I can’t fake no… true affection  
And I try, and I try, and I try, and I try  
But I can’t make no  
I can’t make no connection  

[Verse]  
I walk the street, they pass me by  
With empty smiles and plastic eyes  
They say “be cool, just play the game”  
But I don’t want to look the same  

[Chorus]  
I can’t make no… no connection  
I can’t shake no… disaffection  
And I try, and I try, and I try, and I try  
But I can’t make no  
I can’t make no connection  

[Bridge]  
They keep on telling me  
What I should feel and be  
But I got questions they can’t fix  
Just more rules and dirty tricks  

[Verse]  
I write my name in city smoke  
But truth’s just some kind of joke  
I scream it loud into the air  
Still no one knows I’m even there  

[Chorus]  
I can’t make no… no connection  
I can’t break no… misdirection  
And I try, and I try, and I try, and I try  
But I can’t make no  
No connection  "
You Were On My Mind,We Five,1965,4,"reflective, emotional, warm","folk guitar, soft percussion, vocal harmony","folk rock, pop","[Intro]  
I woke up early with the sun in my eyes  
And I couldn’t find my peace  

[Verse]  
I walked through morning in a broken daze  
Thought I left behind those cloudy days  
But every step brought your name back strong  
I knew I couldn’t last too long  

[Chorus]  
You were in my mind  
Everywhere I’d go  
Like a song I used to know  
You were in my mind  
Couldn’t let you be  
You were haunting every part of me  

[Verse]  
Tried to drown it out in city sounds  
Tried to chase it when the sun went down  
But your face was always near  
In every laugh, in every tear  

[Bridge]  
I said I’d move on, and I tried  
But even freedom feels like a lie  

[Chorus]  
You were in my mind  
Everywhere I’d go  
Like a flame that wouldn’t slow  
You were in my mind  
Like a restless sea  
No matter what, you followed me  

[Outro]  
I couldn’t find my peace  
No, I couldn’t find my peace  
You were in my mind"
You've Lost That Lovin' Feelin',The Righteous Brothers,1965,5,"emotional, dramatic, intense","orchestral backing, male vocal duo","blue-eyed soul, pop","[Verse]
You used to hold me close each night  
Now your touch don’t feel quite right  
There’s silence where your smile should be  
And you don’t even look at me  

[Chorus]
You’ve lost that lovin’ feelin’  
And it’s breakin’ me apart  
You’ve lost that lovin’ feelin’  
And it’s crushin’ on my heart  

[Verse]
The fire’s dim, the spark is gone  
We’re out of sync, we’re out of song  
I call your name and hear the wind  
A love that’s driftin’ in the end  

[Bridge]
Baby, bring it back again  
We can start where we began  

[Outro]
You’ve lost that lovin’ feelin’  
But I still remember when"
California Dreamin',The Mamas & The Papas,1966,1,"wistful, longing, melancholic","vocal harmonies, flute, acoustic guitar","folk rock, pop","[Verse]
I stepped into a world of gray  
With sunlight trapped so far away  
The wind was cold, the sky was wide  
But dreams of warmth were locked inside  

[Chorus]
California dreamin’, every single night  
Wishing for the golden light  
Walking through the silent snow  
But my heart’s where the palm trees grow  

[Verse]
I passed the church with doors of stone  
But in my chest, I felt alone  
I whispered prayers I couldn't speak  
Longing for the coast and heat  

[Bridge]
If I could fly beyond this chill  
I’d trade this frost for every thrill  

[Outro]
California dreamin’, holding on so tight  
To the color in the fading light"
96 Tears,? and the Mysterians,1966,2,"raw, emotional, intense","organ, driving rhythm, male vocals","garage rock, proto-punk","[Verse]
You said goodbye with a grin  
Left me where the pain begins  
Now I’m counting every sigh  
Since you kissed this love goodbye  

[Chorus]
Ninety-six tears down my face  
Since you left without a trace  
Heartbreak hangs like chandelier  
Every drop, a crystal clear  

[Verse]
I told myself I’d be strong  
But the days feel twice as long  
Tried to laugh, but truth appears  
And I’m drowning in my tears  

[Bridge]
You’ll come back when you’re alone  
But I won’t pick up that phone  

[Outro]
Ninety-six tears, still I cry  
Even love must say goodbye"
What Becomes Of The Brokenhearted,Jimmy Ruffin,1966,3,"heartbroken, soulful, hopeful","orchestral arrangement, male vocals","soul, Motown","[Verse]
What becomes of a love gone wrong  
When nights feel twice as long?  
The smile you gave is just a ghost  
And hope’s the thing I miss the most  

[Chorus]
What becomes of the brokenhearted?  
Left behind, torn apart and started  
Walking down a one-way street  
With echoes where our hearts would meet  

[Verse]
I’ve tried to laugh, I’ve tried to mend  
But each day starts where dreams end  
The world keeps turning, unaware  
That I still look, but you’re not there  

[Bridge]
Maybe love is just a flame  
That burns too fast to leave a name  

[Outro]
What becomes of the ones who care?  
We carry love that isn’t there"
Last Train to Clarksville,The Monkees,1966,4,"fun, catchy, poppy","electric guitar, pop drums, male vocals","pop rock, bubblegum pop","[Verse]
Catchin' the last train out of town  
Before the sun goes down  
Left a note on your pillowcase  
Said I'm leavin' without a trace  

[Chorus]
Meet me at the station, don’t be late  
There’s no time left to hesitate  
Clarksville’s callin’, tracks are loud  
But I still want you in the crowd  

[Verse]
Suitcase rattles, heartbeats race  
I still see your face  
Every mile just pulls me near  
I need your voice to calm my fear  

[Bridge]
Don't know when I’ll be back again  
But hold me close until then  

[Outro]
One last ride, one last chance  
Let’s run away, not miss the dance"
Reach Out I'll Be There,Four Tops,1966,5,"urgent, emotional, empowering","orchestral strings, brass, male vocals","Motown, soul","[Verse]
When the night feels cold and long  
And the world has done you wrong  
Just call my name, I’ll hear your cry  
I’ll be the wings when you can't fly  

[Chorus]
Reach out, I’ll be there  
Through the storm and every care  
You don’t have to face it all  
I’ll catch you if you fall  

[Verse]
No mountain’s too steep, no ocean wide  
That I won’t cross to be your guide  
I’ll light the dark, I’ll ease the pain  
Like sunshine after rain  

[Bridge]
I’m not just words, I’m truly near  
Just speak and I’ll appear  

[Outro]
Reach out, I’ll be there  
With love beyond compare"
To Sir With Love,Lulu,1967,1,"sentimental, grateful, tender","orchestral backing, female vocals","pop, ballad","[Verse]
How do you thank someone  
Who took your hand when you had none?  
Taught me more than books could do  
With every look, you pulled me through  

[Chorus]
To sir, with love, I raise my voice  
You helped me see I had a choice  
The lessons lived, not just taught  
A wiser soul your guidance brought  

[Verse]
From trembling steps to standing tall  
You saw the beauty in it all  
And now I walk with pride and grace  
Because you showed me my own place  

[Bridge]
You gave me dreams I never dared  
A voice that spoke because you cared  

[Outro]
So if goodbye must come today  
I thank you more than words can say"
The Letter,The Box Tops,1967,2,"urgent, longing, direct","gritty male vocals, electric guitar","blue-eyed soul, rock","[Verse]
Gimme a ticket for an aeroplane  
Got no time to take the train  
My baby wrote, said come back soon  
Now I’m flying to that tune  

[Chorus]
The letter said she still believes  
She’s waitin’ there beneath the eaves  
One piece of paper, black and blue  
Told me what I had to do  

[Verse]
I read her words a thousand times  
Each line ringing like chimes  
She said, “Come home, don’t delay  
I miss you more with each day”  

[Bridge]
No more nights alone for me  
Her words set my heart free  

[Outro]
The letter brought her voice so near  
Now I’m coming home, my dear"
Ode to Billie Joe,Bobbie Gentry,1967,3,"mysterious, tragic, narrative","acoustic guitar, narrative lyrics","country-pop, southern gothic","[Verse]
It was the third of June, another sleepy day  
Dust on the porch, the sky all gray  
Mama cooking, radio hums  
Talkin’ ‘bout the bridge and what’s become  

[Chorus]
Ode to Billie Joe, a tale of loss  
A boy who vanished, paid the cost  
No one said just what he feared  
But we all wept when he disappeared  

[Verse]
Pass the biscuits, change the tune  
But that silence filled the room  
We all pretend we didn’t see  
What Billie Joe meant to me  

[Bridge]
Some secrets float like ghostly rain  
Fallin’ soft on windowpanes  

[Outro]
Ode to Billie Joe remains  
A whisper through forgotten names"
Windy,The Association,1967,4,"lighthearted, upbeat, whimsical","vocal harmonies, light pop instrumentation",sunshine pop,"[Verse]
Who's walkin' down the street so fine?  
Spinnin’ like a breeze through time  
Hair like sunlight, heart so free  
Windy’s all I want to see  

[Chorus]
Windy dances where she goes  
Lifts the clouds and melts the snows  
With a laugh she shifts the air  
Leaves a sparkle everywhere  

[Verse]
She don’t speak, she sings instead  
With every glance, my doubts are shed  
She’s the music, she’s the light  
Windy makes the world feel right  

[Bridge]
Even shadows disappear  
When Windy’s whispering near  

[Outro]
Windy, won’t you stay with me?  
You’re the calm and energy"
I'm a Believer,The Monkees,1967,5,"joyful, catchy, romantic","electric guitar, pop drums, male vocals",pop rock,"[Verse]
I thought love was just pretend  
A broken road that wouldn’t mend  
But then you came, and now I see  
There’s more to life than fantasy  

[Chorus]
I’m a believer, now I know  
Your love can make my spirit grow  
No more doubts, no more lies  
You put the starlight in my skies  

[Verse]
I used to laugh when lovers sighed  
But you unlocked what I denied  
With every word and every kiss  
You showed me what true magic is  

[Bridge]
Now I’m the fool who sings out loud  
Head held high and heart so proud  

[Outro]
I’m a believer, yes it’s true  
And it’s all because of you"
Hey Jude,The Beatles,1968,1,"uplifting, emotional, anthemic","piano, orchestration, vocal build-up","rock, ballad, pop","[Verse]
Hey Jude, don’t feel afraid  
You’ve got the strength you’ve always made  
Take a sad song, make it glow  
And let your broken heart still grow  

[Chorus]
Hey Jude, the world’s your stage  
Turn the sorrow into rage  
Don’t carry pain that you outgrew  
You’ve got more love than you ever knew  

[Verse]
The night may try to pull you in  
But let the sunrise kiss your skin  
You’re not alone, we sing along  
To every word that makes you strong  

[Bridge]
La-la-la-la, life goes on  
With every step, you’ll find where you belong  

[Outro]
Hey Jude, keep moving on  
You’re the reason for this song"
Love is Blue,Paul Mauriat,1968,2,"romantic, delicate, serene","orchestral, instrumental","easy listening, instrumental pop",
Honey,Bobby Goldsboro,1968,3,"sentimental, melancholic, soft","acoustic guitar, soft vocals, strings","country-pop, soft rock","[Verse]
She used to laugh beneath the trees  
Chasing sunlight through the breeze  
Planted flowers just to smile  
And sat with me a little while  

[Chorus]
Honey, sweet and soft and true  
Every day I’m missing you  
Gone too soon, you flew away  
But love like yours will always stay  

[Verse]
She hummed to songs I never knew  
Made cloudy skies feel bright and new  
And now I walk those paths alone  
Still hearing echoes from our home  

[Bridge]
Time may pass, but won’t erase  
Her gentle hands, her warming face  

[Outro]
Honey, you're my yesterday  
And still my heart today"
(Sittin' On) The Dock of the Bay,Otis Redding,1968,4,"peaceful, introspective, soulful","whistling, guitar, soft horns","soul, R&B","[Verse]  
Sittin’ here under clouds of gray  
Watchin’ the people drift away  
Rain keeps fallin’ on my knees  
But I don’t mind, I’m feelin’ free  

[Chorus]  
I’m just wastin’ time in the rain  
Tryna wash off all my pain  
I’ve been runnin’, I’ve been tryin’  
But now I’m just sit-in’ still and dryin’  

[Verse]  
Left my home and my worn-out shoes  
Chasin’ dreams I was bound to lose  
City lights never showed me love  
Just neon signs and skies above  

[Chorus]  
So I’m wastin’ time in the rain  
Let it fall and let it stain  
Ain’t no riches, ain’t no name  
But peace don’t come with fame  

[Bridge]  
Maybe one day I’ll move again  
But right now I’m my only friend  
I’ve got this bench, I’ve got this sound  
Of the rain beatin’ on the ground  

[Outro]  
Wastin’ time in the rain,  
Let it wash away my name  
I’ll sit here till I fade  
With nothin’ left to trade"
People Got to Be Free,The Rascals,1968,5,"hopeful, spirited, passionate","soulful vocals, organ, rhythm section","blue-eyed soul, rock","[Verse]
Every soul deserves to shine  
To walk with love, to cross the line  
We were born to lift each other  
To see all strangers as our brother  

[Chorus]
People got to be free  
To speak, to love, to simply be  
Tear the fences, break the chains  
Let compassion guide the reins  

[Verse]
Voices rise across the land  
Asking only for a hand  
No more fear, no more divide  
We are one when love’s our guide  

[Bridge]
Freedom ain’t just for the few  
It starts with me and lives in you  

[Outro]
People got to be free  
And that begins with you and me"
"Sugar, Sugar",The Archies,1969,1,"sweet, fun, lighthearted","bubblegum pop production, synths, vocals",bubblegum pop,"[Verse]
Sugar, sugar, you taste so sweet  
With every kiss, you bring the heat  
You're the candy in my jar  
The sweetest thing by far  

[Chorus]
Sugar, you light me up  
You’re my honey, you fill my cup  
Can’t get enough of your love  
You fit me like a velvet glove  

[Verse]
You're the buzz I crave each day  
The sunshine that don’t go away  
When I feel your sugar high  
All my worries say goodbye  

[Bridge]
Pour your love right into me  
Like syrup in my morning tea  

[Outro]
Sugar, sugar, stay awhile  
You’re the reason I smile"
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,1969,2,"cosmic, uplifting, groovy","orchestral pop, layered vocals, psychedelic sounds","psychedelic soul, pop","[Intro]  
When the stars align as one  
And the rivers meet the sun  
When the night forgets to stay  
A brand new time will find its way  

[Verse]  
This is the age of the open soul  
When love and truth will take control  
When hearts connect across the land  
And no one’s left to make a stand  

[Chorus]  
Awakening, it’s in the sky  
Rising now, so don’t ask why  
The veil is gone, we’re looking clear  
A world reborn is drawing near  

[Verse]  
We've been lost in fear too long  
Hiding what we know is wrong  
Now the dawn begins to sing  
And the bells of change will ring  

[Chorus]  
Open up the light  
Let the bright shine in  
Open up the light  
Let the bright shine in  

[Bridge]  
Let it shine on you! (Let it shine on you!)  
Let it shine on me! (Let it shine on me!)  
Let it shine on love! (Let it shine on love!)  
Let us all be free! (Let us all be free!)

[Chorus]  
Open up the light  
Let the bright shine in  
Let the bright  
Shine in  "
I Can't Get Next to You,The Temptations,1969,3,"frustrated, passionate, funky","funky bass, soul vocals, driving rhythm","Motown, soul","[Verse]
You see me try, you see me cry  
But you just keep on walking by  
I can move a mountain, touch the sky  
But I still can't make you reply  

[Chorus]
I can't get next to you  
No matter what I do  
You light my soul and then walk through  
I can’t break the space between us two  

[Verse]
I could turn rain to summer fire  
But you won't give in to desire  
I call your name, you just pretend  
Like we were never more than friends  

[Bridge]
I’ve done it all to catch your glance  
Still you won't give me a chance  

[Outro]
I can't get next to you  
But I'm still trying, it's true"
Honky Tonk Women,The Rolling Stones,1969,4,"rebellious, gritty, bluesy","electric guitar, cowbell, bluesy vocals","rock, blues rock","[Verse]
She walked in with boots and grace  
Whiskey smile, a wild pace  
Said she came from Baton Rouge  
And lit the bar like neon fuse  

[Chorus]
Honky tonk women, play it loud  
They own the night, they draw a crowd  
With a laugh and a look so bold  
They’ll steal your heart and leave you cold  

[Verse]
She took my hand, said let’s get lost  
No time to think, just pay the cost  
She danced me out past closing time  
And left me stranded with no sign  

[Bridge]
You can’t hold a woman like that  
She’s a storm in a cowboy hat  

[Outro]
Honky tonk women, come and go  
But they burn you down just so you know"
Everyday People,Sly and the Family Stone,1969,5,"inclusive, positive, laid-back","funk instrumentation, group vocals","funk, soul, pop","[Verse]
I am no better, you are no less  
We all carry different kinds of stress  
Short or tall, dark or light  
We’re all reaching for the same daylight  

[Chorus]
Everyday people, side by side  
In every city, every tide  
We laugh, we cry, we all believe  
In something we hope to achieve  

[Verse]
You may wear a different name  
But your dreams still burn the same  
So let’s not build a wall of shame  
Let’s play a brand new game  

[Bridge]
Hold my hand and lift your voice  
In love and peace, we all rejoice  

[Outro]
Everyday people, one and true  
And that includes me and you"
Bridge Over Troubled Water,Simon and Garfunkel,1970,1,"comforting, powerful, emotional","piano, orchestral strings, soft vocals","folk rock, pop","[Verse]
When you're weary, feeling small  
When tears come down like rainfall  
I'll be the calm beyond your tide  
A hand in yours, right by your side  

[Chorus]
Like a bridge over troubled water  
I will ease your mind  
Like a bridge over troubled water  
I will help you find  

[Verse]
When shadows fall and friends are few  
My light will still shine on you  
I’ll carry you when strength is gone  
Together, we keep holding on  

[Bridge]
In storms or silence, I remain  
A quiet song through all your pain  

[Outro]
Like a bridge over troubled water  
I will see you through"
(They Long To Be) Close To You,The Carpenters,1970,2,"gentle, romantic, warm","soft vocals, lush arrangements, piano","soft rock, pop","[Verse]
Every time the sun begins to rise  
I see reflections of you in the skies  
Birds start to sing, the breeze turns new  
All because I’m close to you  

[Chorus]
Why do stars fall down from blue?  
It’s just the world longing for you  
They long to be, like me, close to you  

[Verse]
The gentle way you say my name  
Turns every day into a flame  
Of something pure, something true  
That only lives when I’m with you  

[Bridge]
Every heartbeat finds its cue  
In rhythm just to be with you  

[Outro]
They long to be, like me, close to you"
American Woman,The Guess Who,1970,3,"aggressive, rebellious, energetic","electric guitar riffs, gritty vocals","hard rock, blues rock","[Verse]
American woman, don’t come knockin’  
I’m done with your chains and talkin’  
Your polished smile, your plastic pride  
Don’t fit the rebel that I hide  

[Chorus]
American woman, get away from me  
Let me be wild and let me be free  
You want control, but I won’t stay  
I’ve found my soul and walked away  

[Verse]
You dress in red, white, and gold  
But underneath, your heart feels cold  
You sell me dreams you never keep  
I’m waking now, I won’t sleep  

[Bridge]
I need the fire, not the mask  
Someone real, that’s all I ask  

[Outro]
American woman, I’m movin’ on  
The fight inside me's never gone"
Raindrops Keep Fallin' on My Head,B.J. Thomas,1970,4,"cheerful, light, hopeful","orchestral pop, trumpet, light percussion","pop, soundtrack","[Verse]
Raindrops keep fallin’ on my head  
But that don’t mean my soul is filled with dread  
The sky can pour, but I’ll still sing  
‘Cause life’s a funny little thing  

[Chorus]
Raindrops keep fallin’, but I smile  
They won’t last, just wait awhile  
No use complainin’ when skies are gray  
The sun will find another way  

[Verse]
I used to fear the thunder's sound  
But now I dance on soggy ground  
Each drop’s a tune, a beat, a breeze  
That shakes me loose and sets me free  

[Bridge]
Storms may visit, winds may sigh  
But I won’t let ‘em dim my sky  

[Outro]
Raindrops fall, but I won’t cry  
There’s a rainbow hangin’ high"
War,Edwin Starr,1970,5,"angry, bold, intense","funky brass, heavy drums, shouted vocals","soul, protest song, funk","[Verse]
War, what is it good for?  
It breaks the soul, it locks the door  
Leaves the young without a choice  
Silences the weakest voice  

[Chorus]
War! Ain’t no reason, ain’t no rhyme  
It steals your love, it steals your time  
Say it loud, we’ve had enough  
The cost of war is way too tough  

[Verse]
Marching boots don’t bring us peace  
They crush the ground, and love’s released  
Through broken glass and mothers’ tears  
We count the days, we count the years  

[Bridge]
Raise your fists but raise your heart  
The real revolution’s where we start  

[Outro]
War—no more, we’ve drawn the line  
Let’s build a world by love, not sign"
Joy To The World,Three Dog Night,1971,1,"joyful, celebratory, fun","rock band, piano, upbeat chorus","rock, pop","[Verse]  
Woke up laughing in the rain  
Shook off trouble, danced through pain  
Every stranger, every friend  
Sang a song that had no end  

[Chorus]  
Joy to the world, we’ll sing it loud  
Raise your hands above the crowd  
Let the rivers roll with light  
Turn the darkness into bright  

[Verse]  
Found a rhythm in the street  
Heard the music in our feet  
Even hearts that lost their way  
Found a voice in what we play  

[Bridge]  
It don’t matter who you’ve been  
Love will let the light back in  

[Outro]  
Joy to the world, joy to the skies  
To the laughter in our eyes"
Maggie May,Rod Stewart,1971,2a,"reflective, bittersweet, rustic","acoustic guitar, mandolin, raspy vocals","folk rock, classic rock","[Verse]
Wake up, Maggie, I think I’ve said
Too much with silence, not enough with tread
You took my heart, then gave it back
But now I’m standing on the track

[Chorus]
Maggie May, I played the fool
Thought I was wise, thought I was cool
But now I see you had your say
While I watched time drift away

[Verse]
I packed my things, I left your bed
Your perfume lingers in my head
The records spin but I can’t hear
A voice so soft, then disappeared

[Bridge]
You broke the boy, but made the man
In ways I’ll never understand

[Outro]
Maggie May, this is goodbye
But I won’t forget your sky"
Reason to Believe,Rod Stewart,1971,2b,"pleading, heartfelt, gentle","acoustic guitar, soft vocals, slow tempo","folk rock, ballad","[Verse]  
I saw you cry and say you’re fine  
But silence drew another line  
You smiled and I believed again  
Though I knew how it would end  

[Chorus]  
Still I find a reason to believe  
Even when your words deceive  
It’s not hope that makes me stay  
It’s the ghost of yesterday  

[Verse]  
I held you close through fading years  
My hands still full of old ideas  
Each promise made, each story spun  
Still stings beneath the setting sun  

[Bridge]  
Maybe lies are just a thread  
That keep old memories from the dead  

[Outro]  
Reason to believe, though it’s untrue  
I still find it — all in you"
I Feel the Earth Move,Carole King,1971,3a,"empowered, emotional, rhythmic","piano, female vocals, strong rhythm","singer-songwriter, pop rock","[Verse]  
I feel the earth move under my skin  
Like something wild’s about to begin  
You touch my hand, the sky goes black  
Then explodes and pulls me back  

[Chorus]  
I feel the earth move, don’t you see?  
Every time you get close to me  
Tremors roll and pulses race  
You shake the ground with just your face  

[Verse]  
The walls all bend, the lights all spin  
My calm collapses from within  
You light the fire and break the seal  
Make it too hard not to feel  

[Bridge]  
Baby, you're a tidal wave  
Knocking down what I can’t save  

[Outro]  
I feel the earth move — deep and wide  
When you’re standing by my side"
It's Too Late,Carole King,1971,3b,"melancholic, introspective, mature","piano, strings, melancholic tone","soft rock, adult contemporary","[Verse]
We tried to hold what couldn’t stay
Watched love grow quiet, drift away
We shared the truth without the flame
And walked away without the blame

[Chorus]
It’s too late, we can’t go back
Time rolled on without a track
The words are soft, the nights are still
But we can’t change the way we feel

[Verse]
You used to wait at midnight’s call
Now silence dances through the hall
We smile like we both understand
Love sometimes slips right through your hand

[Bridge]
It wasn’t wrong, it wasn’t right
Just a moment lost to night

[Outro]
It’s too late for us to mend
But thank you for being more than friend"
One Bad Apple,The Osmonds,1971,4,"playful, youthful, upbeat","funky rhythm, harmonized vocals, pop instrumentation","bubblegum soul, pop","[Verse]
Don’t judge me for the one before
She closed her heart, then slammed the door
But I ain’t her, I’m standing true
I’d never put that hurt on you

[Chorus]
One bad apple don’t spoil the tree
Take a chance and fall with me
I’ve got love, not games to play
So let’s start fresh today

[Verse]
You look away like you’ve been burned
Afraid to trust, too much you’ve learned
But I’ve got patience, I’ve got time
To prove to you this heart is mine

[Bridge]
You’ve got bruises, I’ve got grace
Let me bring a sweeter taste

[Outro]
One bad apple came and went
But I’m the one who’s heaven-sent"
How Can You Mend a Broken Heart,Bee Gees,1971,5,"melancholic, soulful, emotional","orchestral strings, soft drums, falsetto male vocals","soul, ballad, soft rock","[Verse]
How do you fix what you can't see?
A soul undone, a quiet plea
I watch the world just spin around
While I can’t lift from off the ground

[Chorus]
How can you mend a broken heart?
When love is gone, where do you start?
The pieces don’t fit like they used to
And I’m left wondering what to do

[Verse]
The laughter echoes from before
But now it hurts me even more
You walked away, I stayed behind
With nothing left but silent time

[Bridge]
I reach for you in every dream
But wake to silence in between

[Outro]
How can you mend a heart like mine?
When healing needs more than time"
The First Time Ever I Saw Your Face,Roberta Flack,1972,1,"intimate, emotional, tender","piano, soft strings, female vocals","soul, ballad","[Verse]
The first time ever I saw your face  
The world stood still in quiet grace  
No word could reach what I had found  
Your gaze alone could shake the ground  

[Chorus]
I knew then what forever meant  
In that one moment, heaven sent  
You held the stars within your eyes  
And turned my silence into skies  

[Verse]
The first time ever you touched my hand  
The earth became a softer land  
No fear, no doubt, just endless peace  
And all my ghosts were released  

[Bridge]
Time could pass and oceans roam  
But you, my heart, will be my home  

[Outro]
The first time ever I saw your face  
Love began its sweetest chase"
Alone Again (Naturally),Gilbert O'Sullivan,1972,2,"melancholic, reflective, ironic","piano, light strings, male vocals","pop, soft rock","[Verse]
I stood and watched the door close tight  
No words, no chance to make it right  
The laughter faded into air  
And I was left with no one there  

[Chorus]
Alone again, naturally  
The world forgot to wait for me  
I tried to smile through broken glass  
But memories hold on so fast  

[Verse]
I questioned why the good ones leave  
While sorrow teaches us to grieve  
I held the past in trembling hands  
And wished for someone who understands  

[Bridge]
Faith can fall, and hope feels thin  
But I still breathe and start again  

[Outro]
Alone again, maybe true  
But someday I’ll believe in new"
American Pie,Don McLean,1972,3,"nostalgic, epic, sorrowful","acoustic guitar, piano, vocals with narrative tone","folk rock, ballad","[Intro]
A long, long time ago, I can still remember how that music made me smile...

[Verse]
I read the news on a winter's day  
The songs we loved had slipped away  
No more guitars to fill the night  
Just silent halls and neon light  

[Chorus]
Bye, bye, the songs we used to know  
Drove our dreams through the dust and snow  
And though the rhythm’s gone from the sky  
We’ll still remember, we won’t say goodbye  

[Verse]
The jester laughed, the poet cried  
The crowd grew still, the groove had died  
But we held hands, still swaying slow  
To songs from years and lives ago  

[Bridge]
It wasn’t just a melody  
It was the sound of you and me  

[Outro]
So bye, bye, to that sweet refrain  
Till we hear those chords again"
Without You,Harry Nilsson,1972,4,"heartbroken, dramatic, soaring","piano, orchestral backing, emotional vocals","pop rock, ballad","[Verse]
No stars tonight, no morning light  
Since you walked out, nothing feels right  
I reach for you in empty space  
And only find the air's embrace  

[Chorus]
I can't live, if living is without you  
Every breath just pulls me through  
You were the song, the only truth  
And now I'm lost in all I knew  

[Verse]
The mirror shows a different face  
One touched by time and love's disgrace  
But I'd give all to hold your gaze  
And bring back those golden days  

[Bridge]
Love’s a flame that won’t die down  
Even when no one's around  

[Outro]
I can't live, and yet I try  
But I still break, and I still cry"
The Candy Man,Sammy Davis Jr.,1972,5,"cheerful, whimsical, playful","orchestral arrangement, male vocals, backing chorus","novelty, pop","[Intro]  
Who can twist the sunshine?  
Sprinkle joy on everything?  
Wrap a smile in laughter?  
The Bubblegum King!

[Verse]  
He’s got pockets full of color  
Shoelaces made of sweets  
He skips around the corner  
Tappin’ rhythms with his feet  
When he sings, the sky gets brighter  
Birds all start to swing  
You know it’s not just anyone  
It’s the Bubblegum King!

[Chorus]  
Oh, the Bubblegum King can (yes he can!)  
He can take your frown and turn it ‘round again  
With a pop and a grin and a song from within  
He’ll lift your day like helium wind  

[Bridge]  
Don’t need no gold, no diamond things  
Just bubble wrap and jelly wings  
He’s got a heart that’s sugar-spun  
And bounces joy to everyone!

[Chorus]  
Oh, the Bubblegum King can (yes indeed!)  
He’s got every happy thing you need  
From peppermint hats to chocolate shoes  
He gives the world the sweetest news  

[Outro]  
So if you feel blue and gray  
Let the Bubblegum King save your day!"
